Altium Designer Pick and Place Locations
C:\Users\Nevius\Documents\GitHub\Radiation-Detector\PCB\RadiationDetector\Project Outputs for RadiationDetector\Pick Place\Pick Place for RadiationDetector(Prototype).csv

========================================================================================================================
File Design Information:

Date:       18/08/25
Time:       00:13
Revision:   a7f4d240a683f500bb8288fffe1c8069b9d4ae60
Variant:    Prototype
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"D13","RS2MBF","TopLayer","RS2MBF","251.969","3145.669","90","2A 1000V 1.3V SMB-FL Diodes - General Purpose ROHS"
"2SCREEN1","LCD_TOUCHSCREEN","BottomLayer","LCD_TOUCHSCREEN","1270.472","2166.535","0","Data Line Filter, 1 Function(s)"
"TP13","Testpoint","TopLayer","Testpoint","1043.307","3720.472","90",""
"TP12","Testpoint","TopLayer","Testpoint","1145.669","3728.347","90",""
"TP11","Testpoint","TopLayer","Testpoint","1220.472","3208.661","90",""
"TP10","Testpoint","TopLayer","Testpoint","94.488","2259.843","90",""
"TP9","Testpoint","TopLayer","Testpoint","606.299","1905.512","90",""
"TP8","Testpoint","TopLayer","Testpoint","685.039","1673.228","90",""
"TP7","Testpoint","TopLayer","Testpoint","909.449","1944.882","90",""
"TP6","Testpoint","TopLayer","Testpoint","1889.764","2594.488","90",""
"TP5","Testpoint","TopLayer","Testpoint","2267.716","3181.102","90",""
"TP4","Testpoint","TopLayer","Testpoint","2283.465","1795.276","90",""
"TP3","Testpoint","TopLayer","Testpoint","2188.976","2200.787","90",""
"TP2","Testpoint","TopLayer","Testpoint","409.449","417.323","90",""
"TP1","Testpoint","TopLayer","Testpoint","425.197","917.323","90",""
"D18","3SMAJ5951B-TP","TopLayer","DIOM4325X244N","896.260","3594.488","180","DIODE ZENER 120V 3W DO214AC"
"D17","3SMAJ5951B-TP","TopLayer","DIOM4325X244N","1203.347","3590.551","180","DIODE ZENER 120V 3W DO214AC"
"D16","3SMAJ5951B-TP","TopLayer","DIOM4325X244N","1204.724","3476.378","0","DIODE ZENER 120V 3W DO214AC"
"D15","3SMAJ5951B-TP","TopLayer","DIOM4325X244N","897.638","3476.378","0","DIODE ZENER 120V 3W DO214AC"
"D14","3SMAJ5951B-TP","TopLayer","DIOM4325X244N","589.173","3472.441","0","DIODE ZENER 120V 3W DO214AC"
"U7","SY8089AAAC","TopLayer","SOT95P285X140-5N","330.709","1909.449","180","Buck Adjustable 2A 2.7V~5.5V SOT-23-5 DC-DC Converters ROHS"
"U6","MCP73831T-2ACI/OT","TopLayer","FP-C04-091-OT-IPC_B","704.724","1488.189","180","Power Supply Support Circuit, Adjustable, 1 Channel, PDSO5"
"U5","OPA2354AIDGKR","TopLayer","DGK0008A_M","2035.433","2468.504","180","IC OPAMP VFB 2 CIRCUIT 8VSSOP"
"U4","OPA2354AIDGKR","TopLayer","DGK0008A_M","1901.575","2779.528","270","IC OPAMP VFB 2 CIRCUIT 8VSSOP"
"U3","OPA2354AIDGKR","TopLayer","DGK0008A_M","2078.740","2015.748","180","IC OPAMP VFB 2 CIRCUIT 8VSSOP"
"U2","OPA2354AIDGKR","TopLayer","DGK0008A_M","2078.740","1811.024","0","IC OPAMP VFB 2 CIRCUIT 8VSSOP"
"U1","FT231XQ-R","TopLayer","FP-QFN-20-MFG","977.362","1192.913","270","IC USB SERIAL FULL UART 20QFN"
"SW3","MK-12C02-G015","TopLayer","Switch","110.236","1574.803","90","Surface Mount, Right Angle 1A SPDT 6V Black 10,000 Cycles SMD Slide Switches ROHS"
"SW2","PTS645SH50SMTR92 LFS","TopLayer","FP-PTS645SH50SMTR92LFS-MFG","2381.890","1468.504","90","SWITCH TACTILE SPST-NO 0.05A 12V"
"SW1","PTS645SH50SMTR92 LFS","TopLayer","FP-PTS645SH50SMTR92LFS-MFG","2074.803","1464.567","90","SWITCH TACTILE SPST-NO 0.05A 12V"
"R39","100K","TopLayer","RESC1005X37N","94.488","1800.473","270","RES SMD 100K OHM 1% 1/16W 0402"
"R38","3M","TopLayer","RESC1005X37N","744.095","4059.055","270","RES SMD 3M OHM 5% 1/16W 0402"
"R37","2M","TopLayer","RESC1005X37N","744.095","3972.441","270","RES SMD 2M OHM 1% 1/16W 0402"
"R36","200K","TopLayer","RESC1005X37N","625.984","3972.441","90","RES SMD 200K OHM 1% 1/16W 0402"
"R35","82K","TopLayer","RESC1005X37N","968.504","3240.157","270","RES SMD 82K OHM 1% 1/16W 0402"
"R34","4.99M","TopLayer","RESC3116X65N","830.709","3240.157","0","RES 4.99M OHM 1% 1/4W 1206"
"R33","4.99M","TopLayer","RESC3116X65N","633.858","3240.157","0","RES 4.99M OHM 1% 1/4W 1206"
"R32","10K","TopLayer","RESC1005X37N","543.307","2371.339","270","RES SMD 10K OHM 1% 1/16W 0402"
"R31","4.99M","TopLayer","RESC3116X65N","448.819","3240.157","0","RES 4.99M OHM 1% 1/4W 1206"
"R30","10M","TopLayer","RESC1005X37N","177.165","3622.047","90","RES SMD 10M OHM 1% 1/16W 0402"
"R29","1M","TopLayer","RESC1005X37N","255.905","3496.063","90","RES SMD 1M OHM 1% 1/16W 0402"
"R28","560R","TopLayer","RESC1005X37N","267.716","2366.142","180","RES SMD 560 OHM 1% 1/16W 0402"
"R27","150K","TopLayer","RESC1005X37N","1196.850","1476.378","270","RES 150K OHM 5% 1/16W 0402"
"R26","470K","TopLayer","RESC1005X37N","1196.850","1562.992","90","RES 470K OHM 5% 1/16W 0402"
"R25","49.9K","TopLayer","RESC1005X37N","188.976","1814.961","180","RES 49.9K OHM 1% 1/16W 0402"
"R24","220K","TopLayer","RESC1005X37N","188.976","1870.079","180","RES 220K OHM 5% 1/16W 0402"
"R23","2KR","TopLayer","RESC1005X37N","566.929","1433.071","270","RES 2K OHM 1% 1/16W 0402"
"R22","150R","TopLayer","RESC1005X37N","653.543","1271.653","180","RES SMD 150 OHM 1% 1/16W 0402"
"R21","1K","TopLayer","RESC1005X37N","1866.142","1889.764","90","RES SMD 1K OHM 5% 1/16W 0402"
"R20","10K","TopLayer","TS53YL_VIS","1685.039","1933.071","270","TRIMMER 10K OHM 0.25W GW TOP ADJ"
"R19","1K","TopLayer","RESC1005X37N","2263.780","2027.559","180","RES SMD 1K OHM 5% 1/16W 0402"
"R18","50R","TopLayer","RESC1005X37N","2228.346","2385.827","90","RES SMD 50 OHM 0.1% 1/16W 0402"
"R17","47K","TopLayer","RESC1005X37N","1866.142","1984.252","90","RES SMD 47K OHM 1% 1/16W 0402"
"R16","150R","TopLayer","RESC1005X37N","2086.614","3015.748","0","RES SMD 150 OHM 1% 1/16W 0402"
